,avg_rewards
210,-0.00024000000000000003
211,-0.00033500000000000007
212,-0.00034500000000000004
213,-0.000215
214,-0.00025499999999999996
215,-0.00029
216,-0.000255
217,-0.000295
218,-0.000265
219,-0.00022500000000000002
220,-0.00023
221,-0.00026
222,-0.00026000000000000003
223,-0.00021999999999999998
224,-0.00032500000000000004
225,-0.000315
226,-0.00028500000000000004
227,-0.00023
228,-0.00030500000000000004
229,-0.00025
230,-0.00037500000000000006
231,-0.00042000000000000007
232,-0.00029
233,-0.000225
234,-0.00017
235,-0.0004900000000000001
236,-0.00025
237,-0.000265
238,-0.0003400000000000001
239,-0.000745
240,-0.00022
241,-0.00029
242,-0.00024000000000000003
243,-0.000285
244,-0.000335
245,-0.000215
246,-0.00023
247,-0.00023999999999999998
248,-0.00024500000000000005
249,-0.00018500000000000002
250,-0.00023999999999999998
251,-0.000175
252,-0.00025500000000000007
253,-0.00023999999999999998
254,-0.0003450000000000001
255,-0.00024500000000000005
256,-0.00027
257,-0.00028
258,-0.00028
259,-0.00031500000000000007
260,-0.00032500000000000004
261,-0.00021499999999999997
262,-0.00020499999999999997
263,-0.00025
264,-0.00024500000000000005
265,-0.000465
266,-0.00026500000000000004
267,-0.000295
268,-0.00029
269,-0.0002
270,-0.00026
271,-0.00022
272,-0.00021000000000000004
273,-0.00017500000000000003
274,-0.00027499999999999996
275,-0.00032500000000000004
276,-0.00022
277,-0.00023999999999999998
278,-0.00023999999999999998
279,-0.00025500000000000007
280,-0.00023500000000000002
281,-0.00026500000000000004
282,-0.00024500000000000005
283,-0.00029
284,-0.00025000000000000006
285,-0.000295
286,-0.00058
287,-0.00027499999999999996
288,-0.0002
289,-0.000135
290,-0.00029
291,-0.00017
292,-0.00028500000000000004
293,-0.00031500000000000007
294,-0.00028500000000000004
295,-0.00028
296,-0.0003450000000000001
297,-0.00032500000000000004
298,-0.00027499999999999996
299,-0.00021000000000000004
300,-0.00024500000000000005
301,-0.00020500000000000002
302,-0.000185
303,-0.00030500000000000004
304,-0.0003600000000000001
305,-0.000215
