"","times","open","high","low","close","numEvents","volume","value"
"1235",2019-03-06 16:20:00,172.14,172.2,171.55,171.83,1759,327195,56236284
"1236",2019-03-06 16:30:00,171.824,172.04,171.71,171.83,1665,252502,43408472
"1237",2019-03-06 16:40:00,171.8,172.14,171.52,171.7,1546,323977,55646836
"1238",2019-03-06 16:50:00,171.7,172.03,171.59,171.97,1256,255084,43830504
"1239",2019-03-06 17:00:00,171.95,172.34,171.84,172.22,1349,275707,47446576
"1240",2019-03-06 17:10:00,172.24,172.4,172.108,172.21,1485,274728,47322956
"1241",2019-03-06 17:20:00,172.23,172.43,172.021,172.15,1546,267622,46094680
"1242",2019-03-06 17:30:00,172.15,172.61,172.15,172.27,1141,190514,32843584
"1243",2019-03-06 17:40:00,172.28,172.58,172.21,172.515,1624,248106,42774860
"1244",2019-03-06 17:50:00,172.525,172.54,171.95,172.082,1078,197871,34060824
"1245",2019-03-06 18:00:00,172.1,172.16,171.92,171.99,1065,174059,29941142
"1246",2019-03-06 18:10:00,171.95,172.105,171.74,171.74,1568,337249,57979576
"1247",2019-03-06 18:20:00,171.742,171.77,171.36,171.69,1836,329827,56603920
"1248",2019-03-06 18:30:00,171.707,172.13,171.7,172.12,1172,214361,36845132
"1249",2019-03-06 18:40:00,172.13,172.36,172.04,172.12,1545,263416,45357412
"1250",2019-03-06 18:50:00,172.11,172.22,171.94,172.13,1183,202550,34858876
"1251",2019-03-06 19:00:00,172.12,172.55,171.95,172.47,1825,301682,51994116
"1252",2019-03-06 19:10:00,172.47,172.89,172.4,172.443,1956,396611,68485040
"1253",2019-03-06 19:20:00,172.438,172.55,172.17,172.37,1246,225553,38876400
"1254",2019-03-06 19:30:00,172.39,172.48,171.95,171.96,1164,200820,34568456
"1255",2019-03-06 19:40:00,171.97,172.05,171.85,171.975,1428,238038,40932120
"1256",2019-03-06 19:50:00,171.975,172.42,171.87,172.2,1650,268054,46145316
"1257",2019-03-06 20:00:00,172.19,172.42,172.17,172.314,1741,285962,49276904
"1258",2019-03-06 20:10:00,172.32,172.373,171.95,172.26,1293,205132,35319932
"1259",2019-03-06 20:20:00,172.26,172.378,172.17,172.35,1664,263738,45435356
"1260",2019-03-06 20:30:00,172.36,172.62,172.32,172.54,1957,327887,56551876
"1261",2019-03-06 20:40:00,172.55,172.58,172.17,172.2,2205,339495,58526292
"1262",2019-03-06 20:50:00,172.205,172.66,172.16,172.51,6993,1836784,316836416
"1263",2019-03-06 21:00:00,172.51,172.51,172.51,172.51,1,625,107818.75
"1264",2019-03-06 21:10:00,172.51,172.51,172.51,172.51,1,0,0
"1265",2019-03-06 21:20:00,172.51,172.51,172.51,172.51,1,0,0
"1266",2019-03-07 14:30:00,171.5,171.74,170.61,171.233,4245,988451,169343728
"1267",2019-03-07 14:40:00,171.2,171.29,170.43,170.52,3535,695825,118814832
"1268",2019-03-07 14:50:00,170.534,170.65,169.58,169.87,4180,852126,144858768
"1269",2019-03-07 15:00:00,169.86,169.94,169.04,169.12,3519,705862,119724784
"1270",2019-03-07 15:10:00,169.09,169.53,169.06,169.46,3103,551414,93332680
"1271",2019-03-07 15:20:00,169.45,169.96,169.36,169.82,2323,433754,73610832
"1272",2019-03-07 15:30:00,169.785,170,169.4,169.42,1684,346395,58800320
"1273",2019-03-07 15:40:00,169.42,169.71,169.15,169.57,1643,334146,56604312
"1274",2019-03-07 15:50:00,169.59,169.88,169.54,169.66,1634,311816,52925400
"1275",2019-03-07 16:00:00,169.675,169.73,169.34,169.55,1454,249811,42334000
"1276",2019-03-07 16:10:00,169.54,169.8,169.31,169.46,1238,243035,41210660
"1277",2019-03-07 16:20:00,169.47,169.47,169.2,169.37,1183,217665,36856396
"1278",2019-03-07 16:30:00,169.38,169.8,169.38,169.63,1253,220825,37461164
"1279",2019-03-07 16:40:00,169.62,169.7,169.53,169.66,843,143322,24309674
"1280",2019-03-07 16:50:00,169.64,170.23,169.632,170.22,2003,392654,66750676
"1281",2019-03-07 17:00:00,170.21,170.55,170.17,170.44,1801,326745,55679804
"1282",2019-03-07 17:10:00,170.45,170.46,169.8,169.84,1112,194940,33156004
"1283",2019-03-07 17:20:00,169.838,170.13,169.65,170,1337,273370,46436008
"1284",2019-03-07 17:30:00,169.97,170.11,169.49,170.04,1304,222160,37737136
"1285",2019-03-07 17:40:00,170.024,170.26,169.94,170.027,679,127425,21678098
"1286",2019-03-07 17:50:00,170.01,170.22,169.88,169.99,1056,175331,29813460
"1287",2019-03-07 18:00:00,169.995,170.224,169.92,170.001,1092,182796,31087256
"1288",2019-03-07 18:10:00,170.03,170.07,169.78,169.84,814,129267,21965732
"1289",2019-03-07 18:20:00,169.86,169.94,169.69,169.84,1050,163467,27757306
