,PandL_vs_TWAP,PandL_agent,PandL_TWAP
70,279.73914252226007,0.0654559376003425,0.017237079423937846
71,279.74655633089344,0.06554959060259036,0.017261404879067157
72,118.75875333453776,0.0384526169324629,0.017577635795747597
73,9.948281388939082,0.01932630846623145,0.017577635795747597
74,-100.0,0.0,0.02244272682160069
75,-100.0,0.0,0.02336709411651277
76,-100.0,0.0,0.024072532315261446
77,-100.0,0.0,0.02559044071532767
78,-100.0,0.0,0.025896941449956353
79,-100.0,0.0,0.026529403283317304
80,281.336627677818,0.0943947152948732,0.024753645058880884
81,281.59121404252903,0.10151234346569644,0.0266023796487051
82,119.143827968067,0.05584531734988771,0.025483408712758875
83,9.965889089839147,0.02930704270576904,0.02665103055896359
84,-100.0,0.0,0.02758756058144029
85,-100.0,0.0,0.027502421488487867
86,-100.0,0.0,0.02808623241159026
87,-100.0,0.0,0.02925385425779498
88,-100.0,0.0,0.029643061539863284
89,-100.0,0.0,0.02921736607510111
90,281.8397346933805,0.1095665016589961,0.028694368789821897
91,281.7135249630369,0.10532402065717654,0.027592425672466166
92,119.18947592910915,0.05900276142566638,0.026918610565385543
93,9.966074878680873,0.0294675907096222,0.02679698328973919
94,-100.0,0.0,0.02601856872560271
95,-100.0,0.0,0.026383450552541706
96,-100.0,0.0,0.025483408712758875
97,-100.0,0.0,0.02524015416146623
98,-100.0,0.0,0.024899597789656478
99,-100.0,0.0,0.0243401123216834
100,281.2481406503496,0.09214704324092925,0.024169834135778556
101,281.1509063476437,0.08979635288451264,0.023559265212033983
102,119.0382526786233,0.04969097720218351,0.02268598137289333
103,9.961771785298886,0.026149598629990365,0.023780626853710247
104,-100.0,0.0,0.023972797949231534
105,-100.0,0.0,0.02472931960375164
106,-100.0,0.0,0.02520123343325943
107,-100.0,0.0,0.025422595074935692
108,-100.0,0.0,0.025288805071724717
109,-100.0,0.0,0.024461739597329685
110,281.33986481758245,0.09447900299689625,0.02477553796849726
111,281.2556775120557,0.09233434924542441,0.02421848504603704
112,119.06531302543061,0.05113590923686194,0.023342768661383524
113,9.961296705175508,0.025828502622284123,0.023488721392159122
114,-100.0,0.0,0.027164297662191056
115,-100.0,0.0,0.0285484160590463
116,-100.0,0.0,0.028110557866719503
